
3:06:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
3:07:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
3:07:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
3:08:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
3:08:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
3:09:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
3:09:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
3:10:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
3:10:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
3:11:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
3:11:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
3:12:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
3:12:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
3:13:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
3:13:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
3:14:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
3:14:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
3:15:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
3:15:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
3:16:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
3:16:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
3:17:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
3:17:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
3:18:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
3:18:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
3:19:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 401, Functionality : syncReceipt
3:19:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 401, Functionality : syncPayment
3:21:00 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
3:21:00 pm Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
3:21:00 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
3:22:01 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
3:22:01 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
3:22:01 pm Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : ❌ Sync failed
3:23:01 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
3:23:01 pm Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncReceipt
