
1:18:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncReceipt
1:18:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncPayment
1:19:22 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncReceipt
1:19:43 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncPayment
1:20:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncReceipt
1:20:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncPayment
1:21:22 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncReceipt
1:21:43 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncPayment
1:22:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncReceipt
1:22:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncPayment
1:23:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncReceipt
1:23:43 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncPayment
1:24:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncReceipt
1:24:39 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:25:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:25:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:26:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:26:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:27:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:27:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:28:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:28:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:29:02 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:29:02 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:30:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:30:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:31:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:31:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:32:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:32:02 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:33:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:33:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:34:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:34:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:35:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:35:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:36:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:36:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:37:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:37:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:38:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:38:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:39:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:39:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:40:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:40:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:41:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:41:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:42:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:42:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:43:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:43:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:44:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:44:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:45:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:45:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:46:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:46:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:47:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:47:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:48:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:48:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:49:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:49:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:50:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:50:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:51:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:51:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:52:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:52:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:53:05 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:53:06 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:54:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:54:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:55:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:55:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:56:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:56:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:57:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:57:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:58:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:58:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
1:59:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
1:59:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
2:00:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
2:00:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
2:01:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
2:01:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
2:02:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
2:02:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
2:03:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
2:03:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
2:04:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
2:04:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
2:05:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
2:05:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
2:06:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
2:06:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
2:07:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 13.200.157.65:443, Functionality : syncReceipt
